old_url,old_path,classification,redirect_status,target,local_target_exists,chain
"https://oztimberfloor.com.au/products/topdeck-lavanda-oak-monica-grey/","/products/topdeck-lavanda-oak-monica-grey/","close topical match","301","/products/lavanda-oak-monica-grey/","true","/products/topdeck-lavanda-oak-monica-grey/ > /products/lavanda-oak-monica-grey/"
"https://oztimberfloor.com.au/products/topdeck-lavanda-oak-oyster-bay/","/products/topdeck-lavanda-oak-oyster-bay/","close topical match","301","/products/lavanda-oak-oyster-bay/","true","/products/topdeck-lavanda-oak-oyster-bay/ > /products/lavanda-oak-oyster-bay/"
"https://oztimberfloor.com.au/products/topdeck-lavanda-oak-panania-oak/","/products/topdeck-lavanda-oak-panania-oak/","close topical match","301","/products/lavanda-oak-panania-oak/","true","/products/topdeck-lavanda-oak-panania-oak/ > /products/lavanda-oak-panania-oak/"
"https://oztimberfloor.com.au/products/topdeck-lavanda-oak-soft-pale-oak/","/products/topdeck-lavanda-oak-soft-pale-oak/","close topical match","301","/products/lavanda-oak-soft-pale-oak/","true","/products/topdeck-lavanda-oak-soft-pale-oak/ > /products/lavanda-oak-soft-pale-oak/"
"https://oztimberfloor.com.au/products/topdeck-lavanda-oak-truffle-oak/","/products/topdeck-lavanda-oak-truffle-oak/","close topical match","301","/products/lavanda-oak-truffle-oak/","true","/products/topdeck-lavanda-oak-truffle-oak/ > /products/lavanda-oak-truffle-oak/"
"https://oztimberfloor.com.au/products/topdeck-legend-atlantic-oak/","/products/topdeck-legend-atlantic-oak/","close topical match","301","/products/prime-legend-atlantic-oak/","true","/products/topdeck-legend-atlantic-oak/ > /products/prime-legend-atlantic-oak/"
"https://oztimberfloor.com.au/products/topdeck-legend-blackbutt/","/products/topdeck-legend-blackbutt/","close topical match","301","/products/prime-legend-blackbutt/","true","/products/topdeck-legend-blackbutt/ > /products/prime-legend-blackbutt/"
"https://oztimberfloor.com.au/products/topdeck-legend-empire-oak/","/products/topdeck-legend-empire-oak/","close topical match","301","/products/prime-legend-empire-oak/","true","/products/topdeck-legend-empire-oak/ > /products/prime-legend-empire-oak/"
"https://oztimberfloor.com.au/products/topdeck-legend-ghost-oak/","/products/topdeck-legend-ghost-oak/","close topical match","301","/products/prime-legend-ghost-oak/","true","/products/topdeck-legend-ghost-oak/ > /products/prime-legend-ghost-oak/"
"https://oztimberfloor.com.au/products/topdeck-legend-hudson-grey/","/products/topdeck-legend-hudson-grey/","close topical match","301","/products/prime-legend-hudson-grey/","true","/products/topdeck-legend-hudson-grey/ > /products/prime-legend-hudson-grey/"
